Country_name,Confirmed,Deaths
US,1884,32
US,2856,54
US,19335,219
US,2702,51
US,1673,62
US,15841,382
US,2861,47
US,9954,121
US,2896,38
US,7525,105
US,2392,35
US,6232,156
US,2489,54
US,4140,42
US,12276,227
US,4552,55
US,839,26
US,3229,56
US,2072,48
US,3637,57
US,1996,71
US,3583,42
US,11814,174
US,2455,37
US,2114,57
US,6376,116
US,8222,137
US,1186,24
US,1108,44
US,1342,38
US,1165,36
US,3380,83
US,1501,21
US,3171,76
US,1686,35
US,4866,98
US,2961,108
US,11839,153
US,1274,29
US,58220,896
US,3272,55
US,18366,241
US,1704,29
US,1237,24
US,22063,365
US,3805,50
US,2808,66
US,4771,66
US,1690,41
US,5109,0
US,5668,135
US,2166,39
US,44127,468
US,13037,189
US,1079,24
US,4607,77
US,119887,1372
US,102,0
US,5372,64
US,23364,260
US,3817,80
US,3017,18
US,99234,982
US,3561,41
US,16960,149
US,144123,2051
US,4303,30
US,9102,108
US,35642,764
US,1967,39
US,144146,1605
US,32369,314
US,6506,104
US,7463,46
US,1475694,26398
US,23518,281
US,17581,243
US,1273,15
US,7527,86
US,41781,577
US,669,8
US,1644,5
US,50696,582
US,12808,100
US,9039,90
US,322741,5518
US,0,0
US,38902,415
US,1575,6
US,369344,4990
US,157621,2279
US,7373,72
US,356315,5566
US,363644,4159
US,54031,645
US,101807,1708
US,29653,329
US,53828,622
US,44836,521
US,144518,1890
US,20861,218
US,23360,334
US,176,0
US,4427,42
US,45761,334
US,40711,402
US,85157,1315
US,13775,169
US,9298,104
US,860,11
US,78945,951
US,6739,93
US,186,0
US,100524,1164
US,20147,247
US,9942,82
US,73358,819
US,2329,43
US,77101,824
US,1429,4
US,415,5
US,1675,23
US,29863,248
US,6476,80
US,2172,30
US,172,7
US,748,5
US,970,32
US,364,10
US,2357,22
US,343,6
US,3791,80
US,88868,923
US,225,2
US,38986,290
US,8140,31
US,97085,1062
US,2597,22
US,8062,84
US,7636,60
US,416,3
US,2103,13
US,1803,10
US,54,0
US,602,19
US,101,0
US,60831,892
US,145,4
US,932,14
US,5569,53
US,997,1
US,37381,292
US,1730,21
US,1283,7
US,4579,79
US,22938,312
US,124,1
US,1905,39
US,2927,36
US,5111,82
US,3264,98
US,2557,78
US,422,5
US,0,0
US,1316,8
US,501,14
US,3077,5
US,1569,28
US,23954,470
US,920,8
US,1437,21
US,3245,23
US,656,8
US,95,1
US,1158,4
US,300,4
US,4688,11
US,2701,25
US,98,0
US,601,15
US,44381,430
US,1181,18
US,111615,2294
US,97087,2574
US,16861,322
US,14731,393
US,104308,2227
US,27028,488
US,11159,198
US,1347,9
US,12987,213
US,25121,425
US,79540,987
US,34345,609
US,374,0
US,49,0
US,62976,1183
US,39469,285
US,5979,62
US,32417,394
US,5332,58
US,80873,914
US,357110,3079
US,3003,45
US,23191,437
US,20360,463
US,33695,352
US,57827,551
US,14855,170
US,6868,97
US,2939,24
US,165223,1483
US,56986,706
US,14356,114
US,2258,20
US,8612,99
US,3132,44
US,1433,19
US,2984,45
US,2728,25
US,6050,45
US,7933,87
US,28487,482
US,15909,366
US,240451,1832
US,3855,49
US,22147,306
US,10108,158
US,2470,28
US,2186,26
US,54432,663
US,126320,1009
US,51157,332
US,6934,56
US,1816,16
US,3601,45
US,65237,689
US,56490,996
US,20194,335
US,674857,6472
US,10789,52
US,15385,127
US,34414,367
US,7424,89
US,228543,1310
US,71806,529
US,225870,2883
US,79003,802
US,135454,1671
US,127969,1387
US,12732,160
US,32425,291
US,56497,844
US,62117,516
US,40676,221
US,47634,657
US,14480,284
US,9181,140
US,4577,48
US,2961,20886
US,3057,74
US,75476,846
US,6362,56
US,12719,89
US,4552,52
US,3449,102
US,1555,32
US,2479,55
US,367,14
US,6605,179
US,2693,59
US,14505,188
US,20201,329
US,3178,99
US,3458,61
US,25160,603
US,2284,68
US,3098,80
US,2402,67
US,6223,63
US,11119,185
US,3711,79
US,4623,107
US,823,20
US,7832,90
